,Unnamed: 0,tax,income,csp,age,educ,marital,race,sex,ss
0,1,0,6300,0,45,34,5,1,2,0
1,2,0,35000,0,63,36,5,1,1,12000
2,3,273,26502,0,48,43,5,1,2,0
3,4,0,28000,0,26,39,7,1,1,0
4,5,0,9568,0,38,32,7,1,1,0
5,6,0,21666,0,34,39,6,1,2,0
6,7,0,20800,0,37,37,7,1,2,0
7,8,393,42300,0,35,40,2,1,2,0
8,9,0,8340,0,42,34,6,1,2,0
9,10,0,63660,0,25,42,7,1,2,0
10,11,0,13956,0,22,43,7,1,1,0
11,12,6000,84000,0,45,41,1,1,1,0
12,13,0,48752,0,23,39,1,1,1,0
13,14,0,32000,0,43,31,1,1,2,0
14,15,50,20800,0,29,35,1,2,1,0
15,16,380,7300,0,60,31,1,1,1,0
16,17,0,36100,0,40,35,1,1,1,0
17,18,962,69768,0,67,42,1,1,1,0
18,19,0,2590,0,35,34,7,2,2,0
19,20,1000,79738,0,51,44,1,1,1,0
20,21,0,11000,0,28,37,1,2,1,0
21,22,1697,115090,0,31,44,7,2,2,0
22,23,0,105000,0,52,39,1,1,1,0
23,24,0,17000,0,25,39,1,1,1,0
24,25,0,112004,0,29,39,7,1,1,0
25,26,4000,34852,0,73,34,1,1,1,13746
26,27,0,20000,0,26,39,1,1,1,0
27,28,1200,25000,0,21,40,7,1,2,0
28,29,0,42000,0,30,40,1,1,1,0
29,30,1336,29000,0,18,37,7,1,1,0
30,31,0,22200,4200,27,40,7,2,2,0
31,32,900,81037,0,46,41,1,1,1,0
32,33,0,3000,0,62,39,5,1,2,0
33,34,984,38292,0,60,39,1,1,1,0
34,35,0,24791,0,30,43,1,1,1,0
35,37,2106,64200,0,35,40,1,1,1,0
36,38,0,39800,0,32,35,1,1,2,0
37,39,1079,40192,0,44,43,5,1,2,0
38,40,0,29105,0,25,43,7,1,1,0
39,41,164,25000,0,37,39,1,2,1,0
40,42,0,16000,0,22,39,7,1,1,0
41,43,9363,104090,0,45,44,1,1,1,0
42,44,0,67350,0,28,42,1,1,1,0
43,45,0,26000,0,23,39,7,1,2,0
44,46,1050,30160,0,43,34,1,1,2,0
45,47,45,31600,0,36,39,1,1,1,0
46,48,1000,41456,0,50,43,1,1,2,0
47,49,1160,23092,0,67,41,1,1,1,8670
48,50,980,91719,0,48,42,1,1,2,0
49,51,0,21200,0,27,33,7,1,1,0
50,52,2000,58900,0,38,39,1,1,2,0
51,53,0,15600,0,26,33,1,1,1,0
52,54,199,15312,0,29,36,7,1,2,0
53,55,280,7908,0,59,34,4,1,2,6588
54,56,0,21646,0,57,36,1,1,1,16146
55,57,0,45130,0,23,39,1,1,2,0
56,58,380,7195,0,26,39,1,1,2,0
57,59,0,18000,0,30,41,7,2,2,0
58,61,0,7000,0,37,36,7,1,1,0
59,62,20,22000,0,22,39,7,1,2,0
60,63,0,4560,0,41,37,7,2,1,0
61,64,1100,29425,4420,34,40,1,1,2,0
62,65,0,29003,0,29,41,5,1,1,0
63,66,0,45000,0,25,38,7,1,1,0
64,67,0,33400,2400,43,40,5,1,2,0
65,68,4500,73225,0,40,42,1,1,1,0
66,69,2825,17292,0,75,36,5,1,1,7716
67,70,575,21088,0,82,40,4,1,2,9852
68,71,0,10965,0,88,34,4,1,2,10230
69,72,0,7166,0,68,42,5,1,2,3786
70,73,0,13528,0,80,36,4,1,2,12354
71,74,0,16512,0,49,40,5,1,1,0
72,75,80,30841,0,73,39,1,1,1,10782
73,76,140,17106,0,61,36,1,1,1,0
74,77,600,71000,0,34,37,1,2,2,0
75,78,1100,29060,3120,43,40,6,1,2,0
76,79,0,42300,0,27,40,7,2,2,0
77,80,0,28280,0,19,40,7,1,1,0
78,81,0,17912,0,18,40,7,1,1,0
79,82,3600,52770,0,44,44,1,1,2,0
80,83,0,3348,0,22,37,7,2,2,0
81,84,757,59070,0,49,39,1,1,2,0
82,85,2305,51550,0,40,37,1,1,1,0
83,86,315,76000,0,37,43,1,1,1,0
84,87,2500,54927,0,58,36,1,1,1,0
85,88,1000,79667,0,46,43,1,1,1,0
86,89,0,58408,0,34,43,1,1,1,0
87,90,1500,53126,0,56,39,1,1,1,0
88,91,487,45572,0,67,43,1,1,1,11546
89,92,500,88754,0,71,39,1,1,1,11346
90,93,4200,79908,0,42,44,1,1,2,0
91,94,1700,44135,0,51,43,7,1,2,0
92,95,0,53014,6000,41,39,5,1,2,0
93,96,1600,90834,0,29,43,7,1,1,0
94,97,2000,113000,0,48,44,5,1,1,0
95,98,3500,55000,0,43,40,7,1,2,0
96,99,0,50814,0,47,39,1,1,1,0
97,100,5009,102150,0,68,43,4,1,2,10146
98,101,2840,25634,0,66,39,1,1,1,7692
99,102,3200,37395,0,53,40,5,1,2,0
100,103,0,70050,0,48,41,1,1,2,0
101,104,0,7434,0,45,39,7,1,2,6390
102,105,0,7904,0,52,34,5,3,2,0
103,106,1800,34207,0,30,39,1,1,2,0
104,107,800,14317,0,86,39,4,1,2,11346
105,108,1954,20950,0,69,39,1,1,2,10800
106,109,0,63400,0,35,44,1,1,1,0
107,110,474,26317,0,59,42,7,1,2,0
108,111,0,72006,0,23,43,1,1,1,0
109,112,594,21815,0,76,36,1,1,1,9510
110,113,0,34914,0,62,39,1,1,1,0
111,114,450,42176,0,73,39,1,1,1,15360
112,115,1800,104500,0,51,44,1,1,1,0
113,116,0,14261,0,46,39,6,2,2,0
114,117,0,34781,0,25,43,7,1,2,0
115,118,660,102300,0,34,43,5,1,1,0
116,119,0,9484,0,44,39,5,1,2,0
117,120,565,40168,0,45,40,1,1,1,0
118,121,0,58000,0,61,40,3,1,1,0
119,122,80,10176,0,71,34,7,1,1,7476
120,123,471,15278,0,70,43,4,1,1,10794
121,124,0,57000,0,37,43,7,1,1,0
122,125,1463,282577,0,46,44,1,1,1,0
123,126,380,83550,0,36,43,1,1,1,0
124,127,980,105161,0,48,43,1,1,1,0
125,128,600,38000,0,51,39,1,2,1,0
126,129,0,48000,0,40,39,1,1,2,0
127,132,0,6930,0,58,35,5,1,2,3642
128,133,937,6846,0,70,34,4,2,2,5874
129,134,330,35000,0,44,40,1,1,1,0
130,135,645,71405,10400,46,43,5,1,2,0
131,136,1100,161513,0,66,40,5,1,2,9568
132,138,0,7470,0,30,37,7,1,1,5682
133,139,638,54252,0,58,40,1,1,1,0
134,140,1223,42938,0,57,39,1,1,2,0
135,141,2350,40000,0,41,44,4,1,2,0
136,142,0,10237,0,41,39,1,1,2,0
137,143,1000,116461,0,51,41,1,1,1,0
138,144,1500,64450,0,49,39,1,1,1,0
139,145,1140,33810,0,35,39,1,1,1,0
140,146,1175,42020,0,37,43,7,2,2,0
141,147,440,4680,0,32,40,7,1,2,0
142,148,0,30000,0,36,40,1,1,2,0
143,149,0,9402,0,54,37,4,1,2,8142
144,150,0,6637,0,67,38,6,1,1,6636
145,151,0,21010,0,49,39,5,1,2,0
146,152,0,33488,0,79,39,4,1,1,0
147,154,750,21844,0,39,35,5,1,1,9318
148,155,600,28000,0,62,39,4,1,2,0
149,156,1500,35027,0,53,39,5,1,2,0
150,157,795,21009,0,69,39,4,1,2,12498
151,158,3000,15366,0,73,44,1,1,1,11280
152,159,2094,65221,0,65,43,1,1,1,14946
153,160,1820,185002,0,46,43,1,1,2,0
154,161,2400,25000,0,49,39,5,1,1,0
155,162,3137,114590,0,59,43,1,1,1,0
156,163,1446,28020,0,49,44,5,1,2,0
157,164,0,30650,0,40,44,7,1,2,0
158,165,1800,32000,0,34,40,7,1,1,0
159,166,250,48920,0,44,42,5,1,1,0
160,167,250,212237,0,75,40,4,1,1,18990
161,168,1524,33245,0,71,40,1,1,2,5346
162,169,0,7695,0,24,40,7,2,2,0
163,170,0,10915,0,18,39,7,2,2,0
164,171,662,75868,0,50,39,5,1,2,0
165,172,0,17346,0,75,40,5,1,1,8946
166,173,435,30736,0,74,39,1,1,1,2130
167,174,600,101000,0,40,43,1,1,2,0
168,175,3571,21579,0,84,39,4,1,2,12546
169,176,1310,21280,0,53,39,5,1,1,0
170,177,600,42942,0,66,39,4,1,2,0
171,178,600,16204,0,68,39,4,1,2,10146
172,179,1500,127868,0,70,38,4,1,1,1649
173,180,600,68960,0,30,43,1,1,1,0
174,181,1100,26374,0,73,40,5,2,2,7758
175,182,1400,48000,0,27,41,1,1,2,0
176,183,0,10000,0,18,39,7,2,2,0
177,184,0,62090,0,47,39,6,1,1,0
178,185,0,20020,0,44,40,5,1,1,0
179,186,1600,57350,0,29,44,7,1,2,0
180,187,900,267177,0,53,41,1,1,2,0
181,188,515,118050,0,51,43,1,1,1,0
182,189,444,6575,0,69,33,4,2,2,6546
183,190,0,15600,0,34,40,7,2,2,9600
184,191,0,13000,0,50,38,6,2,2,0
185,192,1313,50000,0,61,39,1,1,1,0
186,193,1400,61698,2400,45,39,5,1,2,0
187,194,0,6144,0,61,34,7,1,1,0
188,195,400,54335,0,70,38,5,1,1,7800
189,196,0,25900,0,29,44,7,3,1,0
190,197,650,68982,0,43,39,1,1,2,0
191,198,268,16457,0,66,39,7,1,2,0
192,200,0,19080,0,40,37,1,1,1,0
193,201,0,19700,0,45,39,5,2,2,0
194,202,800,3521,0,53,40,1,1,1,733
195,203,1000,36716,0,49,39,5,1,2,0
196,204,0,134500,0,53,39,1,1,1,0
197,205,0,12650,0,22,43,7,4,1,0
198,206,0,3640,3360,28,40,7,2,2,0
199,207,0,15000,0,25,40,7,2,1,0
200,208,0,12020,0,42,45,7,4,2,0
201,209,8000,72156,0,71,40,5,1,1,8946
202,210,1200,5742,0,53,40,3,1,1,0
203,211,0,6462,0,77,40,6,1,2,5226
204,212,0,30000,0,50,39,1,1,1,0
205,213,0,74100,0,33,39,1,1,1,0
206,214,0,24168,0,65,37,1,1,1,10608
207,217,200,68475,0,37,40,1,1,1,0
208,218,36,27290,0,55,39,6,1,1,0
209,219,0,43025,0,29,40,1,2,1,0
210,220,0,23500,0,35,43,1,2,1,0
211,221,0,19840,0,35,44,1,1,1,0
212,222,800,62111,0,46,43,7,1,2,0
213,223,67,13200,0,51,40,3,1,1,0
214,224,300,67280,0,32,39,1,2,2,0
215,225,600,21811,0,81,40,4,1,2,8094
216,226,402,40000,0,34,43,6,1,1,0
217,227,0,26000,0,34,39,7,1,1,0
218,229,0,45000,0,30,43,7,1,1,0
219,230,4276,27200,0,89,46,1,1,1,0
220,232,0,81850,0,50,43,1,1,1,0
221,233,2000,23443,0,73,32,1,1,1,11106
222,234,0,33500,0,24,39,7,1,2,0
223,235,2300,50200,0,49,43,1,1,1,0
224,236,0,46442,0,34,43,7,1,2,0
225,237,6660,99950,0,29,46,7,1,1,0
226,238,0,22000,0,55,38,5,1,1,0
227,239,3600,85200,0,39,41,5,1,2,8658
228,240,3600,82156,0,35,40,1,1,1,0
229,241,0,31500,0,35,39,7,1,2,0
230,242,0,12990,0,72,34,4,1,2,8790
231,243,1265,15050,0,27,44,7,1,1,0
232,244,265,12500,0,59,39,5,1,2,0
233,245,2000,90532,0,46,40,1,1,1,0
234,246,0,20020,0,30,39,5,1,1,0
235,247,0,54036,0,27,41,1,1,2,0
236,248,0,18940,0,62,35,1,2,1,10200
237,249,1000,72011,0,46,41,1,1,2,0
238,250,3500,82248,0,45,43,1,1,1,0
239,251,2570,180670,0,77,46,1,1,1,16146
240,252,0,44500,0,64,39,7,1,1,0
241,253,0,10400,0,21,42,7,1,1,0
242,254,0,8747,0,82,43,7,1,2,7770
243,255,0,69262,0,42,40,7,1,2,0
244,256,0,11466,0,85,34,4,2,2,5466
245,257,0,100300,0,31,40,7,1,2,0
246,258,2000,7834,0,77,39,4,1,2,7746
247,259,0,8040,600,31,40,5,1,2,0
248,260,0,15000,0,37,40,7,1,2,0
249,261,1653,35397,0,77,39,4,1,2,12546
250,262,5000,12366,0,70,40,4,1,2,7746
251,263,4200,17292,0,65,43,1,1,2,5946
252,264,6000,26946,0,71,39,1,1,1,8706
253,265,5000,33132,0,64,39,1,1,2,5946
254,266,0,2016,0,24,36,7,2,2,0
255,267,0,41000,0,24,39,7,1,2,0
256,268,2100,132650,0,44,42,1,1,2,0
257,269,1,152000,0,54,44,1,1,1,0
258,270,1000,244625,0,57,43,1,1,2,0
259,272,1843,72353,0,55,39,1,2,1,0
260,273,0,7830,0,71,34,7,1,2,4806
261,274,0,14160,0,90,39,4,1,2,6546
262,275,6200,151781,0,48,44,1,1,2,0
263,276,930,13385,0,81,36,4,1,2,11316
264,277,0,6024,0,56,39,4,1,2,0
265,278,0,11706,0,68,40,4,1,2,9570
266,279,378,103648,0,33,43,1,1,1,0
267,280,1600,26292,0,68,40,1,1,1,6546
268,281,0,6000,0,47,38,6,2,2,0
269,282,115,17362,0,74,40,1,1,1,11238
270,283,0,32060,0,76,43,1,1,1,17568
271,284,4600,81495,0,51,39,5,1,2,0
272,285,3200,42066,0,86,39,4,1,2,12546
273,286,0,22706,0,85,40,4,1,2,8706
274,287,0,60401,0,60,44,5,2,2,0
275,288,1600,60566,0,43,43,1,2,1,0
276,289,3800,52792,0,30,40,1,1,1,0
277,290,0,31552,0,34,41,5,1,1,0
278,292,0,12597,0,68,39,4,1,1,12546
279,293,0,53595,0,28,43,7,4,1,0
280,294,0,55000,0,44,39,5,1,1,0
281,295,0,18012,0,88,34,4,1,1,10146
282,296,0,17076,0,88,39,4,1,2,8346
283,297,1000,175900,0,53,43,1,1,1,0
284,298,0,27500,0,43,41,5,1,2,0
285,299,2842,33722,0,44,44,7,1,2,0
286,300,1000,114798,0,56,43,5,1,1,0
287,301,2200,52010,0,29,40,1,1,1,0
288,302,703,20464,0,67,35,1,1,1,0
289,303,1700,130000,0,39,39,1,1,2,0
290,304,2132,121650,0,34,43,1,1,2,0
291,305,2100,40423,0,57,36,1,1,1,0
292,306,2768,37916,0,69,39,1,1,1,12300
293,307,2217,64700,0,46,40,5,1,1,0
294,308,1200,72709,0,50,43,1,1,1,0
295,309,0,26022,0,62,39,4,2,2,7956
296,310,0,46730,7280,37,39,5,1,2,0
297,311,2230,85910,0,75,43,5,1,1,13200
298,312,1300,29546,0,87,40,4,1,2,3546
299,313,1477,73366,0,52,40,5,1,1,0
300,314,1477,78756,0,43,40,5,1,1,0
301,315,3206,84724,0,49,43,1,1,1,0
302,316,4000,112400,0,35,44,1,1,2,0
303,317,0,58262,0,37,41,1,1,1,0
304,318,2300,95250,0,35,43,1,1,2,0
305,319,328,15304,0,63,40,1,1,1,13746
306,320,0,50000,0,54,39,6,1,1,0
307,321,1792,179179,0,49,41,1,1,1,0
308,322,1912,41000,0,29,39,7,1,1,0
309,323,1500,69785,0,50,39,5,1,2,0
310,324,703,22272,0,85,38,1,1,1,8946
311,325,0,30486,0,64,44,7,1,2,10668
312,326,4000,25009,0,79,39,4,1,2,11982
313,327,1500,15000,0,86,40,4,1,2,6746
314,328,1800,10057,0,77,34,4,1,2,7626
315,329,463,46550,0,40,39,1,1,1,0
316,330,500,6320,0,74,39,7,1,1,6144
317,331,0,54050,0,49,40,5,1,1,0
318,332,0,15595,0,40,36,5,1,1,0
319,333,0,571,0,33,43,7,4,1,0
320,334,2700,116050,0,55,44,1,1,2,0
321,335,1200,82700,0,37,43,1,1,1,0
322,336,1846,20131,0,79,40,5,1,2,12247
323,337,5400,84700,0,41,44,1,1,1,0
324,338,1200,19770,0,44,39,3,1,2,0
325,339,1000,41010,0,46,40,1,1,2,0
326,340,0,31340,0,20,40,7,1,2,0
