Incident Year,Operator,Species Name,Species Quantity,Incident Month,Visibility,Flight Phase
1990,DELTA AIR LINES,GULL,1,1,,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,1,DAY,APPROACH
1990,MILITARY,HORNED LARK,1,1,DAY,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,1,,LANDING ROLL
1990,MILITARY,HORNED LARK,1,1,DAY,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,1,DAY,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,1,DAY,TAKEOFF RUN
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,1,DAY,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,2,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,2,DAY,CLIMB
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,2,,
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,2,DAY,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,2,DUSK,CLIMB
1990,UNITED AIRLINES,UNKNOWN MEDIUM BIRD,1,2,,TAKEOFF RUN
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,2,DAY,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,2,NIGHT,APPROACH
1990,DELTA AIR LINES,UNKNOWN MEDIUM BIRD,1,3,,
1990,SOUTHWEST AIRLINES,GULL,1,3,DAY,DESCENT
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,3,NIGHT,APPROACH
1990,UNITED AIRLINES,UNKNOWN MEDIUM BIRD,1,3,,LANDING ROLL
1990,MILITARY,UNKNOWN MEDIUM BIRD,Unknown,3,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,Unknown,3,NIGHT,APPROACH
1990,AMERICAN AIRLINES,MOURNING DOVE,1,3,,
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,3,DUSK,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,3,DAY,TAKEOFF RUN
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,3,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,3,DAY,TAKEOFF RUN
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,3,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,3,DAY,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,4,DAY,APPROACH
1990,AMERICAN AIRLINES,GULL,1,4,DAY,TAKEOFF RUN
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,4,DAY,LANDING ROLL
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,4,DAY,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,4,NIGHT,APPROACH
1990,SOUTHWEST AIRLINES,UNKNOWN MEDIUM BIRD,1,4,,
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,4,DAY,APPROACH
1990,UNITED AIRLINES,GULL,1,4,DUSK,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,4,NIGHT,TAKEOFF RUN
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,4,DAY,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,4,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,4,NIGHT,TAKEOFF RUN
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,4,NIGHT,APPROACH
1990,AMERICAN AIRLINES,GULL,1,4,DAY,APPROACH
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,4,NIGHT,APPROACH
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,4,NIGHT,APPROACH
1990,AMERICAN AIRLINES,GULL,2-10,4,DAY,APPROACH
1990,AMERICAN AIRLINES,GULL,1,4,NIGHT,DESCENT
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,NIGHT,APPROACH
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,5,NIGHT,APPROACH
1990,AMERICAN AIRLINES,GULL,2-10,5,DAY,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,NIGHT,CLIMB
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,2-10,5,NIGHT,EN ROUTE
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,5,DAY,
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,5,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,DAY,TAKEOFF RUN
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,2-10,5,DAY,TAKEOFF RUN
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,5,NIGHT,LANDING ROLL
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,DAY,APPROACH
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,5,DAY,DESCENT
1990,AMERICAN AIRLINES,GULL,1,5,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,2-10,5,NIGHT,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,DAY,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,NIGHT,APPROACH
1990,MILITARY,HORNED LARK,1,5,DAY,LANDING ROLL
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,5,DAY,APPROACH
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,DAY,CLIMB
1990,SOUTHWEST AIRLINES,GULL,1,5,DAY,TAKEOFF RUN
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,2-10,5,NIGHT,CLIMB
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,DAY,APPROACH
1990,AMERICAN AIRLINES,GULL,1,5,DAY,CLIMB
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,2-10,5,DAY,APPROACH
1990,AMERICAN AIRLINES,GULL,1,5,NIGHT,APPROACH
1990,AMERICAN AIRLINES,UNKNOWN MEDIUM BIRD,1,5,NIGHT,DESCENT
1990,MILITARY,UNKNOWN MEDIUM BIRD,1,5,DAY,APPROACH
